iter	Passed	Remaining
409	4569	6576
410	4581	6565
411	4592	6554
412	4602	6541
413	4613	6529
414	4624	6518
415	4634	6506
416	4645	6494
417	4655	6482
418	4667	6471
419	4678	6460
420	4690	6450
421	4700	6438
422	4711	6426
423	4722	6415
424	4733	6403
425	4744	6392
426	4754	6380
427	4765	6369
428	4776	6357
429	4787	6346
430	4798	6334
431	4809	6323
432	4819	6311
433	4831	6301
434	4842	6289
435	4853	6278
436	4864	6266
437	4874	6255
438	4886	6244
439	4897	6233
440	4909	6222
441	4919	6210
442	4929	6198
443	4940	6187
444	4952	6176
445	4963	6164
446	4973	6152
447	4984	6142
448	4995	6130
449	5007	6120
450	5017	6108
451	5027	6095
452	5040	6086
453	5052	6076
454	5063	6065
455	5074	6054
456	5085	6042
457	5096	6031
458	5107	6019
459	5118	6008
460	5129	5997
461	5140	5986
462	5151	5974
463	5162	5964
464	5173	5952
465	5183	5940
466	5195	5929
467	5205	5917
468	5216	5906
469	5227	5894
470	5239	5885
471	5250	5873
472	5261	5861
473	5272	5850
474	5282	5838
475	5293	5827
476	5304	5815
477	5315	5805
478	5326	5793
479	5337	5782
480	5348	5770
481	5359	5759
482	5370	5748
483	5381	5737
484	5391	5725
485	5403	5714
486	5414	5703
487	5425	5692
488	5436	5681
489	5448	5670
490	5459	5659
491	5470	5648
492	5481	5636
493	5491	5625
494	5502	5613
495	5513	5602
496	5523	5590
497	5534	5579
498	5545	5567
499	5555	5555
500	5567	5544
501	5577	5533
502	5588	5521
503	5599	5510
504	5610	5499
505	5621	5487
506	5632	5476
507	5643	5465
508	5653	5453
509	5664	5442
510	5675	5431
511	5686	5419
512	5697	5408
513	5709	5398
514	5720	5387
515	5731	5375
516	5742	5364
517	5752	5353
518	5764	5342
519	5775	5331
520	5786	5320
521	5797	5308
522	5808	5297
523	5819	5286
524	5829	5274
525	5841	5264
526	5852	5252
527	5863	5241
528	5874	5230
529	5885	5218
530	5896	5207
531	5906	5196
532	5917	5185
533	5928	5173
534	5938	5161
535	5950	5150
536	5961	5140
537	5972	5128
538	5983	5117
539	5994	5106
540	6003	5093
541	6015	5082
542	6026	5072
543	6037	5061
544	6048	5049
545	6060	5039
546	6071	5028
547	6082	5017
548	6093	5005
549	6104	4994
550	6115	4983
551	6125	4971
552	6136	4960
553	6147	4949
554	6158	4937
555	6169	4926
556	6180	4915
557	6191	4903
558	6201	4892
559	6210	4879
560	6220	4867
561	6230	4855
562	6240	4843
563	6253	4834
564	6263	4822
565	6274	4810
566	6284	4799
567	6295	4788
568	6306	4777
569	6317	4766
570	6328	4754
571	6339	4743
572	6350	4732
573	6360	4720
574	6371	4709
575	6382	4698
576	6393	4687
577	6403	4675
578	6414	4664
579	6424	4652
580	6435	4641
581	6446	4630
582	6458	4619
583	6468	4607
584	6479	4596
585	6490	4585
586	6501	4574
587	6513	4564
588	6526	4554
589	6536	4542
590	6547	4531
591	6558	4520
592	6569	4509
593	6581	4498
594	6592	4487
595	6602	4475
596	6614	4464
597	6624	4453
598	6635	4442
599	6647	4431
600	6659	4420
601	6669	4409
602	6681	4398
603	6692	4387
604	6704	4377
605	6714	4365
606	6725	4354
607	6736	4343
608	6746	4331
609	6756	4320
610	6768	4308
611	6779	4297
612	6789	4286
613	6800	4275
614	6812	4264
615	6823	4253
616	6834	4242
617	6845	4231
618	6855	4219
619	6866	4208
620	6877	4197
621	6889	4186
622	6900	4175
623	6911	4164
624	6921	4152
625	6932	4141
626	6942	4130
627	6954	4119
628	6964	4107
629	6975	4096
630	6985	4085
